Phylum,Class,Order,Family,Genus,Species,TSN,ED_mean,ED_sd,n_species,n_tests,n_replicates
---,---,---,---,Solaster,syrtensis,157081,5.32,0,1,1,1
---,---,---,Poraniidae,Chondraster,grandis,989676,1.16,0.015839192,1,1,3
---,---,Spinulosida,Echinasteridae,Henricia,---,157152,4.542,0.160087275,3,5,11
---,---,---,---,---,eschrichti,157169,5.39,0,1,1,1
---,---,---,---,---,perforata,206815,5.26,0.095088923,1,3,8
---,---,Forcipulatida,Asteriidae,---,---,157212,4.327,0.645334603,5,5,30
---,---,---,---,Asterias,forbesi,157217,2.2,0.127279221,1,1,3
---,---,---,---,Evasterias,troscheli,990379,4.55,0.639433082,1,1,8
---,---,---,---,Leptasterias,---,157225,3.586,0.116,2,2,5
---,---,---,---,---,polaris,157240,5.53,0,1,1,1
---,---,---,---,---,tenera,157245,3.1,0.142070405,1,1,4
---,---,---,---,Anasterias,perrieri,989370,4.92,0.873258887,1,1,14
---,---,Velatida,Pterasteridae,---,---,157092,2.974,0.0775,2,2,5
---,---,---,---,Diplopteraster,multipes,157095,2.42,0.094917728,1,1,4
---,---,---,---,Pteraster,pulvillus,157111,5.19,0,1,1,1
---,Ophiuroidea,---,---,---,---,157325,2.409411765,0.273354832,9,19,70
---,---,Phrynophiurida,Gorgonocephalidae,Gorgonocephalus,arcticus,157363,2.87,0,1,1,1
---,---,Ophiurida,---,---,---,157382,2.395454545,0.275387238,8,18,69
---,---,---,Ophiuridae,---,---,157384,2.788571429,0.123875248,2,5,12
---,---,---,---,Ophiocten,sericeum,157402,2.78,0,1,1,1
---,---,---,---,Ophiura,sarsi,157424,2.79,0.130575977,1,4,11
---,---,---,Ophiodermatidae,Ophioderma,brevispinum,157520,2.070833333,0.225153725,1,4,12
---,---,---,Ophiacanthidae,Ophiacantha,---,157540,4.33,0.431347736,2,4,25
---,---,---,---,---,fidelis,NA,NA,NA,1,1,10
---,---,---,---,---,bidentata,157544,4.33,0.573746125,1,3,15
---,---,---,Amphilepididae,Ophiopus,arcticis,157614,3,0,1,3,10
---,---,---,Ophiactidae,Ophiopholis,aculeata,157617,1.8,0.166507657,1,1,7
---,---,---,Amphiuridae,Amphilimna,olivacea,157752,2.03,0.052325902,1,1,3
---,Echinoidea,---,---,---,---,157821,1.792819277,0.301673135,6,11,95
---,---,Arbacioida,Arbaciidae,Arbacia,punctulata,157906,0.419538462,0.050486047,1,2,13
---,---,Temnopleuroida,Toxopneustidae,Lytechinus,variegatus,157921,2.48,0,1,1,1
---,---,Echinoida,Strongylocentrotidae,Strongylocentrotus,---,157968,2.206923077,0.341314506,2,6,51
---,---,---,---,---,droebachiensis,157969,2.595384615,0.325618045,1,5,38
---,---,---,---,---,franciscanus,157971,1.43,0.414652976,1,1,13
---,---,Clypeasteroida,Echinarachniidae,Echinarachnius,parma,158016,2,0.33680484,1,1,26
---,---,Spatangoida,Schizasteridae,Moira,atropos,158086,0.7,0.048989795,1,1,4
---,Holothuroidea,---,---,---,---,158140,2.232586207,0.635760489,9,16,67
---,---,Dendrochirotida,---,---,---,158142,3.81,0.180921335,3,6,19
---,---,---,Psolidae,Psolus,fabricii,158153,5.52,0.224234921,1,3,12
---,---,---,Phyllophoridae,Thyone,scabra,1080846,2.3,0.110308658,1,1,3
---,---,---,Cucumariidae,Cucumaria,frondosa,158195,3.66,0.144,1,2,4
---,---,Apodida,---,---,---,158424,4.355,0,2,2,2
---,---,---,Chiridotidae,Chiridota,laevis,158469,4.93,0,1,1,1
---,---,---,Myriotrochidae,Myriotrochus,rinkii,158483,3.78,0,1,1,1
---,---,Molpadida,---,---,---,1077764,4.91,0.107807699,2,2,10
---,---,---,Molpadiidae,Molpadia,oolitica,158496,1.22,0.162812776,1,1,5
---,---,---,Caudinidae,Caudina,arenata,158527,8.6,0.066972631,1,1,5
---,---,Synallactida,---,---,---,1077771,0.932777778,0.868111676,2,6,36
---,---,---,Stichopodidae,Apostichopus,californicus,1078919,0.955806452,0.939134084,1,5,31
---,---,---,Synallactidae,Paelopatides,gigantea,1078783,0.79,0.123552958,1,1,5
---,Crinoidea,Comatulida,Antedonidae,Heliometra,glacialis,158576,3.84,0.492046781,1,3,16
Chaetognatha,---,---,---,---,---,158650,1.446086957,0.173799145,5,8,23
---,Sagittoidea,---,---,---,---,158655,1.387619048,0.182717642,4,7,21
---,---,Phragmophora,Eukrohniidae,Eukrohnia,hamata,158691,0.63,0,1,2,2
---,---,Aphragmophora,Sagittidae,---,---,158726,1.467368421,0.19316695,3,5,19
---,---,---,---,Sagitta,marri,158822,1.26,0,1,1,1
---,---,---,---,Parasagitta,elegans,158784,1.781428571,0.229914658,1,2,14
---,---,---,---,Pseudosagitta,gazellae,158802,0.42,0,1,2,4
Chordata,---,---,---,---,---,158852,4.946755606,0.694608151,676,1719,69697
---,Cephalopoda,---,---,---,---,82326,4.719046272,0.388000724,55,92,1199
---,---,Teuthida,---,---,---,82367,4.747869439,0.400644551,40,76,1038
---,---,---,Cranchiidae,---,---,82575,2.807142857,0,5,5,9
---,---,---,---,Teuthowenia,---,205730,1.69,0,1,1,3
---,Urochordata,---,---,---,---,158853,3.18,0,1,1,1
---,Ascidiacea,---,---,---,---,158854,1.681222222,0.295770892,12,21,74
---,---,Enterogona,---,---,---,158855,1.056,0.094429043,2,3,12
---,---,---,Polyclinidae,Aplidium,pellucidum,158967,1.4,0.137171426,1,1,4
---,---,---,Cionidae,Ciona,intestinalis,159113,0.884,0.092679054,1,2,8
---,---,Phlebobranchia,Ascidiidae,Ascidia,callosa,159176,1.3865,0.473380842,1,3,13
---,---,Pleurogona,---,---,---,159224,2.099972222,0.305958608,8,13,42
---,---,---,Styelidae,---,---,159227,2.386636364,0.526702181,4,6,11
---,---,---,---,Dendrodoa,aggregata,159276,5.25,0,1,1,1
---,---,---,---,Styela,rustica,159309,2.0342,0.912236173,1,2,5
---,---,---,---,Pelonaia,corrugata,159371,4.74,0,1,1,1
---,---,---,---,Kuekenthalis,borealis,159434,1.523,0.0103,1,2,4
---,---,---,Pyuridae,Boltenia,---,159484,2.307894737,0.265304575,2,4,19
---,---,---,---,---,ovifera,159485,2.316666667,0.273469697,1,3,18
---,---,---,---,---,echinata,159487,2.15,0,1,1,1
---,---,---,Molgulidae,---,---,159540,0.926923077,0.054842399,3,5,19
---,---,---,---,Molgula,---,159541,0.916,0.071497767,2,3,12
---,---,---,---,---,manhattensis,159557,0.916,0.08536058,1,2,9
---,---,Stolidobranchia,Molgulidae,---,---,159540,0.926923077,0.054842399,3,5,19
---,---,---,---,Rhizomolgula,globularis,159606,0.936285714,0.00151,1,2,7
---,Thaliacea,---,---,---,---,159632,0.437655172,0.119082391,4,7,68
---,---,Pyrosomida,Pyrosomatidae,Pyrosoma,atlanticum,159636,0.494487805,0.135097896,1,4,51
---,---,Salpida,Salpidae,---,---,159645,0.300588235,0.052662447,3,3,17
---,---,---,---,Salpa,---,159652,0.287333333,0.05547002,2,2,15
---,---,---,---,---,maxima,159654,0.43,0.115470054,1,1,5
---,Appendicularia,---,---,---,---,159664,1.43,0,1,1,2
---,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Entosphenus,tridentatus,159699,5.7,0.503115295,1,1,6
---,Chondrichthyes,---,---,---,---,159785,5.1466,0.537080142,28,38,281
---,---,Lamniformes,Lamnidae,---,---,159901,NA,NA,2,2,10
---,---,---,---,Lamna,nasus,159911,NA,NA,1,1,5
---,---,---,---,Isurus,oxyrinchus,159924,NA,NA,1,1,5
---,---,Squaliformes,---,---,---,160602,7.552321429,0.197993266,2,3,56
---,---,---,Squalidae,Squalus,acanthias,160617,7.69509434,0.202478757,1,2,53
---,---,---,Etmopteridae,Centroscyllium,fabricii,160703,5.03,0.161220346,1,1,3
---,---,Rajiformes,---,---,---,160806,4.289756098,0.685781626,15,23,164
---,---,---,Rajidae,---,---,160845,3.988181818,0.08452337,4,4,22
---,---,---,---,Raja,rhina,160851,4.8,0,1,1,1
---,---,---,---,Dipturus,chilensis,564131,4.23,0,1,1,8
---,---,---,---,Leucoraja,---,564037,3.776923077,0.113971288,2,2,13
---,---,---,---,---,erinacea,564130,3.2,0.133643182,1,1,10
---,---,---,---,---,naevus,564143,5.7,0,1,1,3
---,---,---,Arhynchobatidae,---,---,649692,4.262542373,0.792775238,10,16,118
---,---,---,---,Bathyraja,---,160928,4.334761905,0.841318539,8,14,105
---,---,---,---,---,interrupta,160937,4.283823529,0.823704667,1,4,68
---,---,---,---,---,parmifera,160939,2.175,0.78,1,2,8
---,---,---,---,---,scaphiops,564150,3.97,0,1,1,3
---,---,---,---,---,brachyurops,564246,6.72,0,1,1,2
---,---,---,---,---,macloviana,564253,4.04,0,1,1,5
---,---,---,---,---,lindbergi,564262,3.5,0,1,1,1
---,---,---,---,---,maculata,564263,3.7,0.299813275,1,3,7
---,---,---,---,Psammobatis,---,564044,3.679230769,0,2,2,13
---,---,---,---,---,scobina,564282,3.79,0,1,1,5
---,---,---,---,---,normani,564288,3.61,0,1,1,8
---,---,Chimaeriformes,---,---,---,161009,3.927142857,0,2,2,7
---,---,---,Callorhinchidae,Callorhinchus,callorhynchus,564642,4.09,0,1,1,1
---,---,---,Chimaeridae,Chimaera,monstrosa,161022,3.9,0,1,1,6
---,---,Carcharhiniformes,---,---,---,551500,6.418823529,0.038105118,5,5,38
---,---,---,Scyliorhinidae,---,---,159985,6.418823529,0.059032195,3,3,17
---,---,---,---,Scyliorhinus,---,160053,6.531428571,0.10224676,2,2,7
---,---,---,---,---,retifer,160060,6.63,0.161666323,1,1,4
---,---,---,---,---,canicula,160065,6.4,0,1,1,3
---,---,---,---,Schroederichthys,bivius,551508,6.34,0,1,1,10
---,---,---,Carcharhinidae,---,---,160178,NA,NA,2,2,21
---,---,---,---,Carcharhinus,plumbeus,160289,NA,NA,1,1,10
---,---,---,---,Prionace,glauca,160424,NA,NA,1,1,11
---,---,Torpediniformes,Narcinidae,Discopyge,tschudii,564326,2.68,0,1,1,1
---,---,Rhiniformes,Rhinidae,Rhina,ancylostoma,564467,4.182,0.840991478,1,2,5
---,Holostei,Amiiformes,Amiidae,Amia,calva,161104,3.68,0,1,1,1
---,Teleostei,---,---,---,---,161105,4.953044911,0.695333085,621,1633,69118
---,---,Anguilliformes,---,---,---,161123,5.164814815,0.152377861,12,14,81
---,---,---,Anguillidae,---,---,161125,2.93,0,1,1,1
---,---,---,Muraenidae,---,---,161160,3.575,0,2,2,2
---,---,---,---,Gymnothorax,ocellataus,NA,3.47,0,1,1,1
---,---,---,Congridae,---,---,161324,6.290322581,0.232942571,3,3,31
---,---,---,---,Conger,---,161325,8.833333333,0.474131537,2,2,9
---,---,---,---,---,oceanicus,161326,9.8,0.627217068,1,1,6
---,---,---,---,---,conger,161341,6.9,0,1,1,3
---,---,---,---,Bassanago,albescens,NA,5.25,0,1,1,22
---,---,---,Ophichthidae,Ophichthus,cruentifer,161473,5.8,0.28414081,1,1,4
---,---,---,Derichthyidae,Derichthys,serpentinus,161601,4.05,0,1,1,1
---,---,---,Serrivomeridae,Serrivomer,beanii,635762,2.1,0,1,1,26
---,---,---,Nemichthyidae,---,---,161612,8.21375,0.084187291,3,5,16
---,---,---,---,Avocettina,---,161614,5.32,0,2,4,6
---,---,---,---,---,infans,161619,5.74,0,1,3,5
---,---,---,---,Nemichthys,scolopaceus,161624,9.95,0.111369318,1,1,10
---,---,Clupeiformes,---,---,---,161694,5.5991755,0.948935587,44,243,12365
---,---,---,Clupeidae,---,---,161700,5.618634696,0.973605523,30,183,11448
---,---,---,---,Alosa,---,161701,5.578708134,1.053730468,6,41,1254
---,---,---,---,---,sapidissima,161702,4.9,0.144337567,1,1,5
---,---,---,---,---,aestivalis,161703,7.7,0.225191542,1,1,15
---,---,---,---,---,mediocris,161704,5.5,0.120088856,1,1,5
---,---,---,---,---,alabamae,161705,4.53,0,1,1,1
---,---,---,---,---,pseudoharengus,161706,5.557106764,1.064986561,1,36,1227
---,---,---,---,---,chrysochloris,161707,5.1,0,1,1,1
---,---,---,---,Clupea,---,161721,5.587520219,0.995573892,2,75,9150
---,---,---,---,---,harengus,161722,6.209930556,0.558366613,1,36,720
---,---,---,---,---,pallasii,551209,5.534360617,1.024344509,1,39,8430
---,---,---,---,Sardinops,---,161728,6.953407407,1.054808032,3,13,135
---,---,---,---,---,sagax,161729,7.396504854,1.209263748,1,10,103
---,---,---,---,---,caeruleus,161730,6.038846154,0.108830526,1,2,26
---,---,---,---,---,neopilchardus,551223,3.31,0,1,1,6
---,---,---,---,Brevoortia,---,161731,4.062043478,0.063772244,2,13,230
---,---,---,---,---,tyrannus,161732,4.00880531,0.06433912,1,12,226
---,---,---,---,---,patronus,161734,7.07,0,1,1,4
---,---,---,---,Dorosoma,---,161736,4.552391304,0.11499834,2,8,46
---,---,---,---,---,cepedianum,161737,4.551363636,0.117704553,1,6,44
---,---,---,---,---,petenense,161738,4.575,0,1,2,2
---,---,---,---,Etrumeus,---,161742,5.656818182,0.137652098,2,3,22
---,---,---,---,---,teres,161743,5.8045,0.145098051,1,2,20
---,---,---,---,---,micropus,161745,4.18,0,1,1,2
---,---,---,---,Opisthonema,---,161747,5.400731707,0.074939976,2,3,41
---,---,---,---,---,oglinum,161748,6.085,0.165462987,1,2,10
---,---,---,---,Harengula,jaguana,161755,5.48,0,1,1,21
---,---,---,---,Sardinella,---,161762,5.623461538,0.909710943,4,6,52
---,---,---,---,---,aurita,161763,5.654782609,0.969755124,1,3,46
---,---,---,---,---,fimbriata,161768,4.31,0,1,1,2
---,---,---,---,---,lemuru,551452,5.27,0,1,1,2
---,---,---,---,---,longiceps,551453,6.57,0,1,1,2
---,---,---,---,Sprattus,---,161788,6.911226667,0.486708042,2,13,375
---,---,---,---,---,sprattus,161789,6.901277778,0.496799815,1,12,360
---,---,---,---,---,fuegensis,551216,7.15,0,1,1,15
---,---,---,---,Sardina,pilchardus,161813,6.438673469,1.081327309,1,2,98
---,---,---,---,Hyperlophus,vittatus,161817,4.24,0.201525433,1,1,10
---,---,---,---,Ethmalosa,fimbriata,551295,5.15,0,1,1,4
---,---,---,Pristigasteridae,Opisthopterus,tardoore,551333,3.14,0,1,1,1
---,---,---,Engraulidae,---,---,553173,5.357076923,0.556311569,13,59,916
---,---,---,---,Engraulis,---,161827,5.374848485,0.583735292,5,50,831
---,---,---,---,---,mordax,161828,7.469166667,0.39240319,1,8,78
---,---,---,---,---,encrasicolus,161831,5.151314685,0.586061522,1,32,715
---,---,---,---,---,australis,161834,5.2,0,1,1,6
---,---,---,---,---,japonicus,161835,5.722307692,1.038506781,1,8,26
---,---,---,---,---,anchoita,551338,5.55,0,1,1,6
---,---,---,---,Anchoa,---,161837,4.9825,0.088078147,2,3,52
---,---,---,---,---,hepsetus,161838,4.884893617,0.082930761,1,2,47
---,---,---,---,---,mitchilli,161839,5.9,0.161658075,1,1,5
---,---,---,---,Cetengraulis,mysticetus,161862,6.06,0,1,1,8
---,---,---,---,Stolephorus,---,161866,3.648571429,0,2,2,7
---,---,---,---,---,commersonii,161869,3.72,0,1,1,5
---,---,---,---,---,tri,551398,3.47,0,1,1,2
---,---,---,---,Encrasicholina,heteroloba,161880,2.59,0,1,1,1
---,---,---,---,Anchovia,macrolepidota,551376,6.47,0,1,1,15
---,---,Salmoniformes,Salmonidae,---,---,161931,4.870282282,0.519327237,21,82,18811
---,---,---,---,Coregonus,---,161932,6.062421731,1.186955863,8,15,1086
---,---,---,---,---,autumnalis,161933,4.71,0.446937855,1,1,58
---,---,---,---,---,laurettae,161935,11.31538462,1.637153099,1,2,39
---,---,---,---,---,pidschian,161937,6.9,0.736758101,1,2,110
---,---,---,---,---,sardinella,161938,7.68164557,1.992369861,1,3,79
---,---,---,---,---,clupeaformis,161941,5.155546559,0.731939623,1,2,247
---,---,---,---,---,artedi,623384,4.06,0,1,1,2
---,---,---,---,---,hoyi,623394,5.943255814,1.337510537,1,2,516
---,---,---,---,Oncorhynchus,---,161974,4.761308012,0.433728987,7,58,17561
---,---,---,---,---,gorbuscha,161975,4.703188406,0.221577168,1,12,2346
---,---,---,---,---,keta,161976,4.488098178,0.258723975,1,5,3402
---,---,---,---,---,kisutch,161977,4.840750346,0.437993977,1,10,2892
---,---,---,---,---,nerka,161979,5.164704684,0.332123258,1,9,1964
---,---,---,---,---,tshawytscha,161980,4.465678098,0.562927361,1,9,5803
---,---,---,---,---,mykiss,161989,6.274337349,0.370229292,1,5,83
---,---,---,---,Salvelinus,---,161999,8.696918239,1.242469187,3,6,159
---,---,---,---,---,malma,162000,4.66,0.25622306,1,1,41
---,---,---,---,---,namaycush,162002,10.28938596,1.46325591,1,4,114
---,---,---,---,---,fontinalis,162003,4.69,0,1,1,4
---,---,---,---,Stenodus,---,162005,7.2,0.08323584,2,2,4
---,---,---,---,---,nelma,NA,7.2,0,1,1,2
---,---,---,---,---,leucichthys,162006,7.2,0,1,1,2
---,---,Myctophiformes,---,---,---,162368,7.290607258,1.230825507,80,179,2826
---,---,---,Myctophidae,---,---,162575,7.294796689,1.231698124,79,178,2822
---,---,---,---,Ceratoscopelus,---,162576,6.6115625,0.901691672,3,4,64
---,---,---,---,---,townsendi,162577,6.851428571,0.96589241,1,2,56
---,---,---,---,---,maderensis,162578,7.22,0.172534055,1,1,3
---,---,---,---,---,warmingii,623722,3.56,0,1,1,5
---,---,---,---,Diaphus,---,162583,8.877928571,2.06928797,10,17,150
---,---,---,---,---,theta,162584,10.37429907,2.45672837,1,7,107
---,---,---,---,---,brachycephalus,162592,3.97,0,1,1,4
---,---,---,---,---,effulgens,162597,3.1,0,1,1,4
---,---,---,---,---,lucidus,162607,4.08,0,1,1,6
---,---,---,---,---,mollis,162616,3.608333333,0,1,2,6
---,---,---,---,---,splendidus,162623,3.76,0,1,1,2
---,---,---,---,---,danae,623763,NA,NA,1,1,10
---,---,---,---,---,gigas,623771,7.37,0,1,1,3
---,---,---,---,---,schmidti,623798,3.76,0,1,1,2
---,---,---,---,---,dumerilii,623874,3.55,0,1,1,6
---,---,---,---,Lampanyctus,---,162632,5.4688,1.093896386,12,20,260
---,---,---,---,---,jordani,162633,9.695238095,1.257298692,1,3,21
---,---,---,---,---,regalis,162634,3.828867925,0,1,4,53
---,---,---,---,---,ritteri,162635,7.462586207,0,1,4,58
---,---,---,---,---,alatus,162636,3.84,0,1,1,7
---,---,---,---,---,lineatus,162641,1.72,0,1,1,4
---,---,---,---,---,nobilis,162643,3.48,0,1,1,3
---,---,---,---,---,crocodilus,162649,4.1,0,1,1,63
---,---,---,---,---,achirus,182881,6.12,3.154871517,1,1,30
---,---,---,---,---,australis,182882,NA,NA,1,1,10
---,---,---,---,---,tenuiformis,623716,4.36,0,1,1,1
---,---,---,---,---,steinbecki,623836,4.61,0,1,1,6
---,---,---,---,---,niger,649727,2.43,0,1,1,4
---,---,---,---,Notoscopelus,---,162653,7.468507463,0,2,2,67
---,---,---,---,---,resplendens,162654,3.77,0,1,1,7
---,---,---,---,---,elongatus kroyeri,623879,7.9,0,1,1,60
---,---,---,---,Stenobrachius,---,162663,9.66515873,1.138594168,2,11,252
---,---,---,---,---,leucopsarus,162664,9.671336032,1.150153796,1,10,247
---,---,---,---,---,nannochir,162665,9.36,0,1,1,5
---,---,---,---,Symbolophorus,californiensis,623871,5.69,1.72,1,2,82
---,---,---,---,Tarletonbeania,crenularis,162673,4.02,0,1,3,4
---,---,---,---,Benthosema,---,162679,5.900725462,0.006142623,2,4,703
---,---,---,---,---,glaciale,162680,5.910114286,0.006155809,1,2,700
---,---,---,---,---,suborbitale,162682,3.71,0,1,2,3
---,---,---,---,Protomyctophum,---,162684,7.444692308,2.501451182,6,15,131
---,---,---,---,---,crockeri,162685,NA,NA,1,1,1
---,---,---,---,---,thompsoni,162687,5.95,0,1,1,1
---,---,---,---,---,tenisoni,162691,5.54173913,0.113909739,1,5,23
---,---,---,---,---,andriashevi,623861,9.54,4.067391231,1,2,30
---,---,---,---,---,bolini,623863,6.942,1.986970055,1,4,60
---,---,---,---,---,parallelum,623869,8.23,2.862367901,1,2,16
---,---,---,---,Hygophum,---,162692,5.873076923,0.079337026,3,5,13
---,---,---,---,---,benoiti,162696,6.7775,0.103,1,2,4
---,---,---,---,---,hygomii,623714,6.06,0.109567331,1,1,6
---,---,---,---,---,reinhardtii,623875,4.293333333,0,1,2,3
---,---,---,---,Lampadena,---,162702,5.5,0,2,2,6
---,---,---,---,---,luminosa,162706,3.07,0,1,1,3
---,---,---,---,---,yaquinae,623826,7.93,0,1,1,3
---,---,---,---,Gonichthys,cocco,623710,3.81,0,1,1,3
---,---,---,---,Myctophum,---,162719,7.084117647,0.211403642,4,4,34
---,---,---,---,---,affine,162720,7.74,0.230147135,1,1,29
---,---,---,---,---,punctatum,162723,3.64,0,1,1,1
---,---,---,---,---,selenops,162724,3.22,0,1,1,1
---,---,---,---,---,nitidulum,162726,3.18,0,1,1,3
---,---,---,---,Notolychnus,valdiviae,162729,6.19,0,1,2,3
---,---,---,---,Centrobranchus,---,162731,3.11,0,2,2,2
---,---,---,---,---,nigroocellatus,162732,2.21,0,1,1,1
---,---,---,---,---,choerocephalus,162735,4.01,0,1,1,1
---,---,---,---,Electrona,---,162736,8.339447732,1.385449224,4,29,508
---,---,---,---,---,risso,623732,5.16,0,1,1,3
---,---,---,---,---,antarctica,623809,8.543114035,1.449901474,1,17,457
---,---,---,---,---,carlsbergi,623810,6.237575758,0.62807666,1,8,33
---,---,---,---,---,subaspera,623811,7.408,0.439860555,1,3,15
---,---,---,---,Taaningichthys,---,162739,3.738333333,0,2,3,6
---,---,---,---,---,bathyphilus,162740,3.286666667,0,1,2,3
---,---,---,---,---,minimus,162742,4.19,0,1,1,3
---,---,---,---,Lepidophanes,guentheri,162748,3.42,0,1,1,10
---,---,---,---,Lobianchia,gemellari,162756,8.201212121,0,1,3,33
---,---,---,---,Bolinichthys,---,162761,3.493333333,0,3,3,6
---,---,---,---,---,photothorax,623712,3.6,0,1,1,4
---,---,---,---,---,distofax,623739,3.74,0,1,1,1
---,---,---,---,---,longipes,623750,2.82,0,1,1,1
---,---,---,---,Triphoturus,---,162765,7.407545455,0.914504521,2,5,110
---,---,---,---,---,mexicanus,162766,7.441834862,0.918767968,1,4,109
---,---,---,---,---,nigrescens,623873,3.67,0,1,1,1
---,---,---,---,Parvilux,ingens,162771,NA,NA,1,1,1
---,---,---,---,Lampichthys,procerus,623746,NA,NA,1,1,10
---,---,---,---,Gymnoscopelus,---,623697,8.645044248,1.882617142,6,27,226
---,---,---,---,---,braueri,623816,9.518244275,2.113849679,1,12,131
---,---,---,---,---,fraseri,623817,8.107924528,2.005334063,1,3,53
---,---,---,---,---,microlampas,623819,5.72,0.230913713,1,2,16
---,---,---,---,---,nicholsi,623820,8.863333333,0.117594946,1,7,9
---,---,---,---,---,opisthopterus,623821,4.865,0,1,2,12
---,---,---,---,---,piabilis,623822,9.5,1.962990915,1,1,5
---,---,---,---,Nannobrachium,---,623699,6.648611111,0.641047259,3,4,36
---,---,---,---,---,achirus,623742,6.12,0,1,1,18
---,---,---,---,---,regale,623744,7.6,0,1,1,2
---,---,---,---,---,ritteri,623745,7.124375,0.999,1,2,16
---,---,---,---,Lampanyctodes,hectoris,623730,NA,NA,1,1,9
---,---,---,---,Krefftichthys,anderssoni,623731,8.338873239,0.700373606,1,4,71
---,---,---,Neoscopelidae,Scopelengys,tristis,162777,4.38,0,1,1,4
---,---,Cypriniformes,---,---,---,162846,5.196086957,1.050367283,7,7,23
---,---,---,Cyprinidae,---,---,163342,4.166666667,0,3,3,3
---,---,---,---,Cyprinus,carpio,163344,6.23,0,1,1,1
---,---,---,---,Cirrhinus,mrigala,163679,2.13,0,1,1,1
---,---,---,---,Gibelion,catla,690299,4.14,0,1,1,1
---,---,---,Catostomidae,---,---,163892,4.511428571,0.509823499,2,2,7
---,---,---,---,Catostomus,commersoni,163895,4.14,0,1,1,2
---,---,---,Leuciscidae,---,---,1198935,5.802307692,1.41,2,2,13
---,---,---,---,Notropis,hudsonius,163404,7.15,0,1,1,1
---,---,---,---,Ptychocheilus,oregonensis,163523,5.69,1.478820476,1,1,12
---,---,Siluriformes,---,---,---,163992,4.733,0,5,5,10
---,---,---,Diplomystidae,Diplomystes,viedmensis,681221,5.66,0,1,1,1
---,---,---,Heteropneustidae,Heteropneustes,fossilis,164131,3.68,0,1,1,1
---,---,---,Ariidae,---,---,164157,4.912857143,0,2,2,7
---,---,---,---,Arius,arius,680685,4.27,0,1,1,1
---,---,---,---,Ariopsis,felis,680665,5.02,0,1,1,6
---,---,---,Trichomycteridae,Hatcheria,macraei,682107,3.6,0,1,1,1
---,---,Percopsiformes,Amblyopsidae,Amblyopsis,godonmola,NA,4.98,0,1,1,1
---,---,Batrachoidiformes,Batrachoididae,Porichthys,notatus,164414,5.23,0,1,1,3
---,---,Lophiiformes,---,---,---,164495,1.766666667,0.060851106,3,4,9
---,---,---,Lophiidae,Lophius,americanus,164499,1.7,0.080498447,1,1,6
---,---,---,Oneirodidae,Oneirodes,---,164629,1.9,0,2,3,3
---,---,---,---,---,acanthias,164630,1.27,0,1,2,2
---,---,---,---,---,thompsoni,164633,3.16,0,1,1,1
---,---,Gadiformes,---,---,---,164665,4.396976612,0.525346707,45,267,12375
---,---,---,Moridae,---,---,164670,4.858666667,0.098244066,4,6,25
---,---,---,---,Antimora,rostrata,164672,4.33,0.321026479,1,2,4
---,---,---,---,Gadella,imberbis,550669,6.21,0.126006428,1,1,3
---,---,---,---,Salilota,australis,550679,4.44,0,1,1,5
---,---,---,---,Notophycis,marginata,623169,4.91,0,1,2,13
---,---,---,Gadidae,---,---,164701,4.391261337,0.521730256,25,236,11908
---,---,---,---,Boreogadus,saida,164706,4.669432718,0.445669397,1,4,758
---,---,---,---,Eleginus,gracilis,164708,3.730902004,0.477432625,1,5,898
---,---,---,---,Gadus,---,164710,4.407554293,0.597025791,3,80,7920
---,---,---,---,---,macrocephalus,164711,4.032219366,0.470469645,1,28,1167
---,---,---,---,---,morhua,164712,4.17965812,0.124486877,1,3,117
---,---,---,---,---,chalcogrammus,934083,4.47757836,0.621521988,1,49,6636
---,---,---,---,Microgadus,proximus,164719,3.442857143,0.182773249,1,4,35
---,---,---,---,Lota,lota,164725,4.066153846,0.131,1,2,26
---,---,---,---,Pollachius,---,164726,4.924904762,0.209733118,2,34,420
---,---,---,---,---,virens,164727,4.928373206,0.21023668,1,33,418
---,---,---,---,---,pollachius,164728,4.2,0,1,1,2
---,---,---,---,Urophycis,---,164729,4.237777778,0.099068789,3,5,18
---,---,---,---,---,chuss,164730,3.713636364,0.1,1,2,11
---,---,---,---,---,regia,164731,4.1325,0.154,1,2,4
---,---,---,---,---,tenuis,164732,6.3,0.140007143,1,1,3
---,---,---,---,Melanogrammus,aeglefinus,164744,4.439738562,0.177002071,1,38,459
---,---,---,---,Enchelyopus,cimbrius,164748,3.6,0.138564065,1,1,5
---,---,---,---,Phycis,---,164750,5.765,0.028637825,2,2,6
---,---,---,---,---,chesteri,164734,6.53,0.057275649,1,1,3
---,---,---,---,---,blennoides,164751,5,0,1,1,3
---,---,---,---,Trisopterus,---,164753,4.842565905,0.16189914,3,24,569
---,---,---,---,---,minutus,164754,5.1,0,1,1,21
---,---,---,---,---,luscus,164755,4.7,0,1,1,9
---,---,---,---,---,esmarkii,164756,4.834916512,0.166360007,1,22,539
---,---,---,---,Merlangius,merlangus,164758,4.061216783,0.144365595,1,30,715
---,---,---,---,Gaidropsarus,---,164764,5.5,0,1,1,5
---,---,---,---,Gadiculus,argenteus,164772,5,0,1,1,23
---,---,---,---,Micromesistius,---,164773,4.4952,0,2,4,50
---,---,---,---,---,poutassou,164774,4.4,0,1,1,40
