Phylum,Class,Order,Family,Genus,Species,TSN,ED_mean,ED_sd,n_species,n_tests,n_replicates
---,---,---,---,---,mutabilis,NA,4.9,0,1,1,1
---,---,---,---,---,vibex,74107,1.005642857,0.024653465,1,4,14
---,---,---,---,---,obsoletus,74111,1.66,0.048744846,1,1,4
---,---,---,---,---,reticulatus,74123,5.48,0,1,1,1
---,---,Cephalaspidea,Cylichnidae,---,---,76106,1.554,0.039779827,2,5,15
---,---,---,---,Acteocina,canaliculata,76117,1.336363636,0.047645135,1,3,11
---,---,---,---,Cylichna,alba,76148,2.1525,0.0084,1,2,4
---,---,Nudibranchia,---,---,---,78156,4.4375,0.0088,2,2,4
---,---,---,Dorididae,---,---,78206,4.3,0.012445079,1,1,3
---,---,---,Dendronotidae,Dendronotus,robustus,78513,4.85,0,1,1,1
---,---,Pteropoda,---,---,---,198379,2.79,0,5,5,12
---,---,---,Clionidae,Clione,---,78088,2.92,0,2,2,8
---,---,---,---,---,limacina,78089,NA,NA,1,1,4
---,---,---,---,---,antarctica,685658,2.92,0,1,1,4
---,---,---,Limacinidae,Limacina,---,76336,2.69,0,2,2,2
---,---,---,---,---,helicina,76340,2.77,0,1,1,1
---,---,Littorinida,---,---,---,205001,4.514210526,0.14973442,6,7,19
---,---,---,Littorinidae,Littorina,---,70395,4.204,0,3,3,5
---,---,---,---,---,saxatilis,70405,3.95,0,1,1,1
---,---,---,---,---,littorea,70419,4.35,0,1,1,3
---,---,---,Naticidae,---,---,72878,4.625,0.178219607,3,4,14
---,---,---,---,Natica,clausa,72884,2.95,0.050397553,1,2,5
---,---,---,---,Euspira,---,72984,5.555555556,0.231,2,2,9
---,---,---,---,---,heros,72985,5.9,0.249508517,1,1,8
---,---,---,---,---,pallida,567574,2.8,0,1,1,1
---,---,Nacellida,---,---,---,1205793,5.01,0,2,2,4
---,---,---,Lepetidae,Lepeta,caeca,69759,5.04,0,1,1,1
---,---,---,Nacellidae,Nacella,magellanica,NA,5,0,1,1,3
---,---,Haliotida,Haliotidae,Haliotis,---,69493,4.235555556,0.08536058,3,3,9
---,---,---,---,---,kamtschatkana,69494,4.61,0.112921433,1,1,6
---,---,---,---,---,rufescens,69497,3.64,0,1,1,2
---,---,---,---,---,gigantea,1048489,3.18,0,1,1,1
---,---,Trochida,---,---,---,1205799,4.195588235,0.613897202,8,14,34
---,---,---,Trochidae,---,---,69794,3.513125,0.020058486,7,10,16
---,---,---,---,Margarites,---,69875,3.354285714,0.021665641,5,8,14
---,---,---,---,---,olivaceus,69876,3.11,0.0344,1,2,4
---,---,---,---,---,helicinus,69879,4.82,0,1,1,1
---,---,---,---,---,costalis,69893,5.11,0,1,1,1
---,---,---,---,---,umbilicalis,69896,2.9025,0.0202,1,2,4
---,---,---,---,---,groenlandicus,69897,3.245,0.035,1,2,4
---,---,---,---,Gibbula,umbilicalis,69984,4.94,0,1,1,1
---,---,---,Tegulidae,Tegula,---,69948,4.802222222,0.867978974,1,4,18
---,---,Viviparida,Viviparidae,---,---,70304,3.486666667,0,3,3,3
---,---,---,---,Viviparus,malleatus,70309,3.51,0,1,1,1
---,---,---,---,Filopaludina,javanica,NA,3.81,0,1,1,1
---,---,Ampullariida,Ampullariidae,Pila,luzonica,NA,4.23,0,1,1,1
---,---,Cerithiida,---,---,---,1205806,1.903684211,0.05305164,2,5,19
---,---,---,Turritellidae,Tachyrhynchus,reticulatus,568341,2.4825,0.0179,1,2,4
---,---,---,Cerithiidae,Bittium,varium,72020,1.749333333,0.060259235,1,3,15
---,---,Strombida,Aporrhaidae,Aporrhais,pespelicanis,72552,4.43,0,1,1,1
---,---,Calyptraeida,Calyptraeidae,Crepidula,---,72619,1.164166667,0.703198628,2,3,12
---,---,---,---,---,fornicata,72623,1.195555556,0.046419069,1,2,9
---,---,---,---,---,convexa,72624,1.07,2.220315293,1,1,3
---,---,Cypraeida,Velutinidae,---,---,72690,2.504736842,0.051672936,6,8,19
---,---,---,---,Onchidiopsis,glacialis,72703,3.08,0,1,1,2
---,---,---,---,Piliscus,commodus,72710,2.53,0,1,1,1
---,---,---,---,Velutina,---,72711,2.449333333,0.059080514,3,5,15
---,---,---,---,---,velutina,72712,2.458,0.012643575,1,2,5
---,---,---,---,---,plicatilis,72715,3.45,0,1,1,1
---,---,---,---,---,undata,72719,2.333333333,0.080086571,1,2,9
---,---,---,---,Marsenina,glabra,72727,2.16,0,1,1,1
---,---,Pyramidellida,Pyramidellidae,Pyramidella,fusca,75949,1.134571429,0.09247126,1,2,7
---,---,Helicida,---,---,---,1205830,3.64,0,3,3,3
---,---,---,Succineidae,Succinea,ovalis,76946,NA,NA,1,1,1
